customerid,total_spent,avg_item_price,avg_merchant_rating,avg_review_count,spend_log,price_spread,high_spender_flag,spend_to_price_ratio,cluster
12346.0,77183.6,1.04,0,0,11.253955234248428,0.23278495305370261,1,74214.2864010923,1
12347.0,4310.0,2.644010989010989,0,0,8.368925174747135,0.5918134364907662,1,1630.09295989446,2
12348.0,1595.6399999999999,6.556666666666667,0,0,7.375656700136003,1.467589752104593,0,243.36109299274074,0
12349.0,1757.55,8.289041095890411,0,0,7.472244884833674,1.8553500407375587,1,212.0327139582198,2
12350.0,334.4,3.841176470588235,0,0,5.815323849389109,0.8597770042085282,0,87.05643492199178,0
12352.0,2042.24,10.726626506024095,0,0,7.622292062220553,2.4009588919513662,1,190.38959685574085,2
12353.0,89.0,6.074999999999999,0,0,4.499809670330265,1.3597774901935031,0,14.650181645791532,0
12354.0,1079.4,4.5037931034482765,0,0,6.985086621918461,1.0080916020671122,0,239.66411834779635,0
12355.0,459.4,4.203846153846154,0,0,6.132095676847728,0.9409539707385243,0,109.28061836266446,0
12356.0,2811.43,3.201186440677966,0,0,7.941804157314053,0.7165269570282401,1,878.2435105433831,2
12357.0,6207.67,3.3486259541984733,0,0,8.733701981297274,0.7495285918677901,1,1853.7906433862747,2
12358.0,1168.06,8.27421052631579,0,0,7.063955286074528,1.8520304893508395,0,141.16858455549223,0
12359.0,6195.28,8.630905349794238,0,0,8.73170439096115,1.9318700929450023,1,717.8010383507811,2
12360.0,2662.06,3.5496899224806198,0,0,7.887231116540211,0.7945330788075503,1,749.9394478786492,2
12361.0,189.9,3.335,0,0,5.251749730731702,0.7464786715712483,0,56.94135849667617,0
12362.0,5226.23,3.94093984962406,0,0,8.56163678004062,0.882107209502118,1,1326.1346120652986,2
12363.0,552.0,2.3117391304347827,0,0,6.315358001522335,0.5174404662987194,0,238.78023472909555,0
12364.0,1313.1,1.910235294117647,0,0,7.180907299649593,0.4275711858295214,0,687.3986309734782,0
12365.0,641.38,17.150454545454547,0,0,6.465180028897591,3.8388151502050936,0,37.3972377424603,0
